fillId,timeUtc,timeParis,symbol,rawCoin,side,dir,fillType,px,sz,closedPnl,fee,oid,cloid,hash,tid,attributionStatus,attributionMethod,orderAttemptId,decisionId,lifecycleId
184a9875-29a8-4a44-af95-128a9b324c10,2026-05-25T21:10:15.938Z,2026-05-25 23:10:15,NEAR-PERP,NEAR,B,Close Short,CLOSE,2.7807,10.2,-0.24072,0.012252,442154777759,,0x7c1fc09d7265bfee7d99043c3ab71c02016200830d68dec01fe86bf0316999d9,288447725839260,UNMATCHED,UNMATCHED,,,cc458cd7-2f6d-430c-86ee-12ef50a1ed8b
f12cc6af-8821-4040-b26c-2efffab605ed,2026-05-25T21:10:21.130Z,2026-05-25 23:10:21,ZEC-PERP,ZEC,B,Close Short,CLOSE,651.46,0.08,0.5,0.022514,442154809314,,0xda59328ea04b0508dbd2043c3ab7690201af00743b4e23da7e21dde15f4edef3,495952188805206,UNMATCHED,UNMATCHED,,,4caed788-052b-46b3-b6a5-6490adf9dfbd
36826595-42fd-4cb3-863e-874c9984737d,2026-05-26T08:35:54.759Z,2026-05-26 10:35:54,SUI-PERP,SUI,B,Open Long,OPEN,1.0293,11,0,0.004891,442774772540,0x016a3fac12179a2a67f9fb7effe2f464,0x016685d7b4d588b602e0043c43dda202020300bd4fd8a788a52f312a73d962a0,18190656268447,MATCHED,ORDER_ID,26f2a6dd-c4f4-4e33-9fe8-41233e2792bc,832d688e-2829-4a45-b854-4aa30623efd0,936d4e41-cf9a-4c0f-9b36-7ae9533a247c
82194299-4104-41e1-aba3-7da00ae60342,2026-05-26T08:37:58.205Z,2026-05-26 10:37:58,SUI-PERP,SUI,A,Close Long,CLOSE,1.032,11,0.0297,0.004904,442774772542,0x784f7f3b6899effcc5301661e126c78b,0x3c4f8246895ddd373dc9043c43e4a40101009a2c2450fc09e0182d994851b721,400823101149765,MATCHED,ORDER_ID,c76a6670-da27-444d-8b16-287bc39bf666,832d688e-2829-4a45-b854-4aa30623efd0,936d4e41-cf9a-4c0f-9b36-7ae9533a247c
d20336b9-67f4-4d22-b3fd-c7d29283b9a2,2026-05-26T10:32:02.882Z,2026-05-26 12:32:02,ETH-PERP,ETH,B,Open Long,OPEN,2125,0.0106,0,0.00973,442891758563,0x05f037d36249dd59bebff3d77a961cb1,0x0cb514ddc424cfb40e2e043c4569770205d700c35f27ee86b07dc0308328a99e,355889102561925,MATCHED,ORDER_ID,55eb6be9-603a-4b7b-b27b-4da77e8b3b72,238e9415-6b87-4210-9526-1b63473b4b90,4a7d9453-e113-41eb-9ba9-f4143d2a26ea
0426753e-4978-4f70-b63e-e86ba1ee8fd4,2026-05-26T10:36:43.757Z,2026-05-26 12:36:43,ETH-PERP,ETH,A,Close Long,CLOSE,2129.5,0.0106,0.0477,0.009751,442891758565,0x236b3154f0a9153bb93a0d9cdae4cc02,0x2092adc1cff0bd7f220c043c4579630000cdc5a76af3dc51c45b59148ef49769,471977915156393,MATCHED,ORDER_ID,bfb590c6-257a-4ff4-b148-4c9765d07007,238e9415-6b87-4210-9526-1b63473b4b90,4a7d9453-e113-41eb-9ba9-f4143d2a26ea
41774179-11cc-471b-981f-71834884f92f,2026-05-26T14:33:49.869Z,2026-05-26 16:33:49,BTC-PERP,BTC,B,Open Long,OPEN,77551,0.00029,0,0.009715,443205107842,0x5895872bf22b38c869965baaee3e9d31,0x4cb7657946b9a8eb4e31043c489e130202dc005ee1bcc7bdf08010cc05bd82d5,106849782354025,MATCHED,ORDER_ID,2a0c291d-71ac-4388-a7d6-f1944a06628e,4b2da4c3-bef6-44fe-bea4-352e9ea80335,fd32030d-a74f-499a-91c2-eae22217f2ce
15d32540-708c-4911-8b29-ef7319d3fdf8,2026-05-26T14:35:41.187Z,2026-05-26 16:35:41,BTC-PERP,BTC,A,Close Long,CLOSE,77458,0.00029,-0.02697,0.009703,443205107843,0x8de5142488106a6f53d7208d83c42639,0xef48e73269dd4110f0c2043c48a459000083ff1804d05fe29311928528d11afb,706655787978908,MATCHED,ORDER_ID,a9245983-e6ad-4bfc-8115-21267587c133,4b2da4c3-bef6-44fe-bea4-352e9ea80335,fd32030d-a74f-499a-91c2-eae22217f2ce
e2cafa42-f520-42bf-8cc5-07a3f758f27d,2026-05-26T14:37:20.986Z,2026-05-26 16:37:20,BTC-PERP,BTC,B,Open Long,OPEN,77269,0.00015,0,0.005007,443212207789,0xcdf7fa9892f74219273172be59798228,0x2faa50be197935c33124043c48a9ed02042600a3b47c5495d372fc10d87d0fad,452725025207120,MATCHED,ORDER_ID,7e74a043-272c-4698-9c24-f84fe553a4b7,653b28d5-b631-4b95-8009-3ee8d4d3d699,e77fe5c0-170b-4908-86fc-51cebaba1eea
b92929a4-fee0-4f47-b9d2-aaf5605a4c4b,2026-05-26T14:37:23.645Z,2026-05-26 16:37:23,BTC-PERP,BTC,A,Close Long,CLOSE,77286,0.00015,0.00255,0.005008,443212207790,0xb711d8c47c9af3f97d12aa1547500a6f,0xce6603b5a49d9e45cfdf043c48aa1602051b009b3f90bd17722eaf0863917830,324801201716988,MATCHED,ORDER_ID,33335198-3eca-4061-a7a2-e0b112bb0fb4,653b28d5-b631-4b95-8009-3ee8d4d3d699,e77fe5c0-170b-4908-86fc-51cebaba1eea
3d789d52-fe94-43db-8b2e-1f3bc1024f2f,2026-05-26T14:40:47.567Z,2026-05-26 16:40:47,SOL-PERP,SOL,B,Open Long,OPEN,85.045,0.13,0,0.004776,443221177347,0x1e376d90136f3147e80d78ff7fc823fd,0xa85aca59a7669deba9d4043c48b569020af1003f4269bcbd4c2375ac666a77d6,1077428417308473,MATCHED,ORDER_ID,1c961005-1565-48b3-86d0-9db2d077da2d,51a2937d-e006-45a2-b341-f35f7732410e,68952857-2d9f-416d-b750-db75427b9613
cee8c382-1d2a-4604-8895-e653b8d7fb6a,2026-05-26T14:42:48.046Z,2026-05-26 16:42:48,SOL-PERP,SOL,A,Close Long,CLOSE,84.761,0.13,-0.03692,0.00476,443221177348,0x0bf838ecddde5e41b5eb2aa18f3a153c,0x00121486a34d7b99018b043c48bc3c00004d2c6c3e409a6ba3dabfd962415583,218914029976198,MATCHED,ORDER_ID,b6b3b665-f4cf-4fc5-a9a3-f9b214b121a7,51a2937d-e006-45a2-b341-f35f7732410e,68952857-2d9f-416d-b750-db75427b9613
4513030d-686a-466b-b0d4-e1e200bf1df9,2026-05-26T15:04:28.426Z,2026-05-26 17:04:28,SOL-PERP,SOL,B,Open Long,OPEN,85,0.18,0,0.006609,443264276837,0x958e88c4bd97e72fff393fad11ffb6d0,0x7a613e5b2b311ccc7bda043c4905b402087f0040c6343b9e1e29e9adea34f6b7,740687156996766,MATCHED,ORDER_ID,9007f9d7-1371-4df6-9610-2dcbf784ca6c,85d273f0-0e29-4d15-9c30-369d23d0b1fb,6cc3a7b5-83e9-46ee-b9a0-3750c73e8fbd
f12922f2-1a79-48e3-9c34-1fdacdfcde8e,2026-05-26T15:04:28.426Z,2026-05-26 17:04:28,SOL-PERP,SOL,B,Open Long,OPEN,85.003,0.09,0,0.003304,443264276837,0x958e88c4bd97e72fff393fad11ffb6d0,0x7a613e5b2b311ccc7bda043c4905b402087f0040c6343b9e1e29e9adea34f6b7,255857569081976,MATCHED,ORDER_ID,9007f9d7-1371-4df6-9610-2dcbf784ca6c,85d273f0-0e29-4d15-9c30-369d23d0b1fb,6cc3a7b5-83e9-46ee-b9a0-3750c73e8fbd
8d2b4bdf-7507-40d5-9d33-0e0bcde49374,2026-05-26T15:05:29.837Z,2026-05-26 17:05:29,SOL-PERP,SOL,A,Close Long,CLOSE,85.151,0.27,0.0405,0.009932,443264276839,0x39aeeca91780150266dd420f8af785a4,0x11b594a2fea1224b132f043c49092a0000f0ac8899a4411db57e3ff5bda4fc35,859585486341594,MATCHED,ORDER_ID,5f19b3e7-a7c5-472f-bb65-5157cd682346,85d273f0-0e29-4d15-9c30-369d23d0b1fb,6cc3a7b5-83e9-46ee-b9a0-3750c73e8fbd
